questions,answers
"Can bats in United States get the virus that causes COVID-19, and can they spread it back to people?","Other coronaviruses have been found in North American bats in the past, but there is currently no evidence that the virus that causes COVID-19 is present in any free-living wildlife in the United States, including bats. In general, coronaviruses do not cause illness or death in bats, but we don’t yet know if this new coronavirus would make North American species of bats sick. Bats are an important part of natural ecosystems, and their populations are already declining in the United States. Bat populations could be further threatened by the disease itself or by harm inflicted on bats resulting from a misconception that bats are spreading COVID-19. However, there is no evidence that bats in the United States are a source of the virus that causes COVID-19 for people. Further studies are needed to understand if and how bats could be affected by COVID-19."
Is hunter-harvested game meat safe to eat during the COVID-19 pandemic?,"Currently, there is no evidence that you can get infected with the virus that causes COVID-19 by eating food, including wild hunted game meat. However, hunters can get infected with other diseases when processing or eating game. Hunters should always practice good hygiene when processing animals by following these food safety recommendations: Do not harvest animals that appear sick or are found dead. Keep game meat clean and cool the meat down as soon as possible after harvesting the animal. Avoid cutting through the backbone and spinal tissues and do not eat the brains of any wild animal. When handling and cleaning game: Wear rubber or disposable gloves. Do not eat, drink, or smoke. When finished handling and cleaning game: Wash your hands thoroughly with soap and water. Clean knives, equipment, and surfaces that were in contact with game meat with soap and water and then disinfect them. While these recommendations apply to general food safety practices, if you are concerned about COVID-19, you may use a product on the EPA list of disinfectants for use against the COVID-19 virusexternal icon. Cook all game meat thoroughly (to an internal temperature of 165°F or higher). Check with your state wildlife agency regarding any testing requirements for other diseases and for any specific instructions regarding preparing, transporting, and consuming game meat."
How can I safely run my equestrian facility?,"You should follow your state and/or local jurisdictional guidance regarding continuing operations at your facility. There have not been any reports of horses testing positive for the virus that causes COVID-19. Based on the limited information available to date, the risk of animals spreading the virus that causes COVID-19 to people is considered to be low. COVID-19 is primarily spread from person to person, so steps should be taken to reduce the risks for people visiting your facility. Encourage employees and other visitors, including boarders, owners, farriers, veterinarians, and those taking lessons, not to enter the facility if they are sick. Employees should not return to work until the criteria to discontinue home isolation are met, after talking with their doctor. Implement sick leave policies that are flexible, nonpunitive, and consistent with public health guidance, allowing employees to stay home if they have symptoms of respiratory infection. Consider conducting daily health checks (e.g., symptom and/or temperature screening) of employees and others visiting the facility before they enter the premises. People with a fever of 100.40(38.00C) or above or other signs of illness should not be admitted to the premises. If implementing health checks, conduct them safely and respectfully. See General Business FAQs for more information. Employees or visitors who appear to have symptoms upon arrival or who become sick during their visit should immediately be separated from other employees and visitors and sent home. Limit the number of people entering the facility. Consider staggering lesson and visiting times to limit the number of people in the facility and potential for person-to-person contact. If possible, you can also take steps to decrease high-traffic areas by limiting areas open to visitors/owners or staggering use of common areas like grooming or wash stalls and tack rooms. Increase distance and limit duration of contact between employees and visitors in the facility. Whenever possible, people should maintain at least 6 feet of distance between each other at the facility, including instructors teaching lessons. Allow for social distancing and avoid large numbers of people within the facility, including in employee-only areas. Visitors and employees should wear masks to protect others especially where social distancing measures are difficult to maintain. Wearing a mask does NOT replace the need to practice social distancing. Set up hand hygiene stations at the entrance and within the facility, so that employees and people entering can clean their hands before they enter. Employees should wash hands regularly with soap and water for at least 20 seconds. An alcohol-based hand sanitizer containing at least 60% alcohol can be used, but if hands are visibly dirty, they should be washed with soap and water before using an alcohol-based hand sanitizer. Examples of hand hygiene stations may be a hose and soap located at entrances to allow for handwashing before entry. Clean and disinfect frequently touched surfaces such as grooming tools, halters, lead ropes, shared tack and equipment, and door handles/gates (including those to stall doors and pasture/turn out areas) on a routine basis. To disinfect, use products that meet EPA’s criteria for use against theexternal icon virus that causes COVID-19 and are appropriate for the surface, diluted household bleach solutions prepared according to the manufacturer’s label for disinfection, or alcohol solutions with at least 70% alcohol. Follow manufacturer’s directions for use, especially regarding product contact time and protections from chemical hazards posed by cleaners and disinfectants. Follow local guidance on shelter in place and travel recommendations when traveling for showing, training, or trail riding. If traveling to a new facility, limit contact between people, horses, tack, equipment, and other supplies from different facilities, and maintain a distance of at least 6 feet between horses and riders. Follow state and local guidance on travel. People who are sick should not travel to other facilities. People visiting other facilities should follow the same precautions as they would normally, including maintaining at least 6 feet of distance between each other, wearing a mask to protect others, and washing hands frequently with soap and water. If other animals, such as barn cats, are present at the facility, be aware that a small number of pets have been reported to be infected with the virus that causes COVID-19, mostly after contact with people with COVID-19. For more information, see Guidance on Preparing Workplaces for COVID-19pdf iconexternal icon and Interim Guidance for Businesses and Employers to Plan and Respond to Coronavirus Disease 2019 (COVID-19)."
What is community mitigation?,"Community mitigation activities are actions that people and communities can take to slow the spread of infectious diseases, and prepare for it if it occurs, including COVID-19. Community mitigation is especially important before a vaccine or drug becomes widely available. For more information, see Community Mitigation Framework."
What are community mitigation actions for COVID-19?,"For individuals Washing hands often Avoiding close contact with people who are sick, and practicing social distancing Covering mouth and nose with a mask when around others Covering coughs and sneezes Cleaning and disinfecting frequently touched surfaces daily For communities Promoting behaviors that prevent spread Maintaining healthy environments Maintaining healthy operations Preparing for when someone gets sick Closing businesses and schools and limiting other services For more information, see Community Mitigation Framework."
Who is involved in community mitigation actions?,"Individual people, communities, schools, businesses, and healthcare organizations have a role to play in community mitigation. Policies*, which include limits on large gatherings, restrictions on businesses, and school closures are often needed to fully put in place community mitigation strategies. Each community is unique. Because some actions can be very disruptive to daily life, mitigation activities will be different depending on how much disease has spread within the community, what the community population is like, and the ability to take these actions at the local level. To identify appropriate activities, all parts of a community that might be affected need to be considered, including populations most vulnerable to severe illness, and those who might be more affected socially or economically. When selecting mitigation activities, states and communities need to consider the spread of disease locally, characteristics of the people who live in the community (for example, age groups, languages spoken, overall health status), and the kind of public health resources and healthcare systems (like hospitals) that are available in the community. State and local officials may need to adjust community mitigation activities and immediately take steps to scale them up or down depending on the changing local situation. Putting mitigation into practice is based on Emphasizing individual responsibility for taking recommended personal-level actions Empowering businesses, schools, and community organizations to take recommended actions, particularly in ways that protect persons at increased risk of severe illness Focusing on settings that provide critical infrastructure or services to individuals at increased risk of severe illness Minimizing disruptions to daily life to the extent possible *CDC cannot address the policies of any business or organization. CDC shares recommendations based on the best available science to help people make decisions that improve their health and safety. In all cases, follow the guidance of your healthcare provider and local health department. Local decisions depend on local circumstances. For more information, see Community Mitigation Framework."
Can the virus that causes COVID-19 spread through treated drinking water?,"The virus that causes COVID-19 has not been detected in treated drinking water. Water treatment plants use filters and disinfectants to remove or kill germs, like the virus that causes COVID-19. The Environmental Protection Agency regulates water treatment plants to ensure that treated water is safe to drink. Currently, there is no evidence that the virus that causes COVID-19 can be spread to people by drinking treated water. COVID-19 is spread mainly through close contact from person-to-person. You can continue to use and drink water from your tap as usual."
Is the virus that causes COVID-19 found in feces (stool)?,"The virus that causes COVID-19 has been found in the feces of some patients diagnosed with COVID-19. However, it is unclear whether the virus found in feces may be capable of causing COVID-19. There has not been any confirmed report of the virus spreading from feces to a person. Scientists also do not know how much risk there is that the virus could be spread from the feces of an infected person to another person. However, they think this risk is low based on data from previous outbreaks of diseases caused by related coronaviruses, such as severe acute respiratory syndrome (SARS) and Middle East respiratory syndrome (MERS)."
Can the COVID-19 virus spread through sewerage systems?,"Recently, ribonucleic acid (RNA) from the virus that causes COVID-19 has been found in untreated wastewater. While data are limited, there is little evidence of infectious virus in wastewater, and no information to date that anyone has become sick with COVID-19 because of exposure to wastewater. At this time, the risk of transmission of the virus that causes COVID-19 through properly designed and maintained sewerage systems is thought to be low."
Should wastewater workers take extra precautions to protect themselves from the virus that causes COVID-19?,"Recently, ribonucleic acid (RNA) from the virus that causes COVID-19 has been found in untreated wastewater. While data are limited, there is little evidence of infectious virus in wastewater, and no information to date that anyone has become sick with COVID-19 because of exposure to wastewater. Standard practices associated with wastewater treatment plant operations should be sufficient to protect wastewater workers from the virus that causes COVID-19. These standard practices can include engineering and administrative controls, hygiene precautions, specific safe work practices, and personal protective equipment (PPE) normally required when handling untreated wastewater. No additional COVID-19–specific protections are recommended for workers involved in wastewater management, including those at wastewater treatment facilities. See Information for Wastewater and Sanitation System Workers on COVID-19 for additional information."
"If my utility has issued a Boil Water Advisory, can I still use tap water to wash my hands?","In most cases, it is safe to wash your hands with soap and tap water during a Boil Water Advisory. Follow the guidance from your local public health officials. If soap and water are not available, use an alcohol-based hand sanitizer containing at least 60% alcohol."
"Can the virus that causes COVID-19 spread to people through the water in pools, hot tubs, or water playgrounds?","CDC is not aware of any scientific reports of the virus that causes COVID-19 spreading to people through the water in pools, hot tubs, or water playgrounds. Plus, proper operation of public pools, hot tubs, and water playgrounds (such as at an apartment complex or owned by a community) and disinfection of the water (with chlorine or bromine) should inactivate the virus. The virus mainly spreads when respiratory droplets from infected people land in the mouths or noses of others or possibly when inhaled into the lungs by others. If a public pool, hot tub, or water playground is open, it is important for all visitors and staff to take steps to slow the spread of the virus: Stay home if you are infected or might be infected with the virus that causes COVID-19. Stay at least 6 feet apart (in and out of the water) from people you don’t live with. Wear cloth masks when not in water. Cover coughs and sneezes with a tissue (or use the inside of your elbow), throw used tissues in the trash, and wash hands. Wash your hands often with soap and water for at least 20 seconds. Use hand sanitizer with at least 60% alcohol if soap and water are not readily available. See Considerations for Public Pools, Hot Tubs, and Water Playgrounds for more information."
Can the virus that causes COVID-19 spread to people through the water in saltwater pools?,"CDC is not aware of any scientific reports of the virus that causes COVID-19 spreading to people through the water in pools, including saltwater pools. Plus, proper operation of public pools (such as at an apartment complex or owned by a community) and disinfection of the water (with chlorine or bromine) should inactivate the virus. Saltwater pools are chlorinated pools. In traditional pools, chlorine products (such as granules or liquid bleach) are added to the water to disinfect it. In saltwater pools, table salt (made up of sodium and chloride) is added to the water, and an electrical current is then run through the water with dissolved salt. This creates the same disinfecting form of chlorine that is created when chlorine products are added to the water in traditional pools."
"Can the virus that causes COVID-19 spread to people through the water in lakes, oceans, or rivers?","CDC is not aware of any scientific reports of the virus that causes COVID-19 spreading to people through the water in lakes, oceans, rivers, or other natural bodies of water. The virus mainly spreads when respiratory droplets from infected people land in the mouths or noses of others or possibly when inhaled into the lungs by others. If a public beach or other swim area in a natural body of water is open, it is important for all visitors and staff to take steps to slow the spread of the virus: Stay home if you are infected or might be infected with the virus that causes COVID-19. Stay at least 6 feet apart (in and out of the water) from people you don’t live with. Wear cloth masks when not in water. Cover coughs and sneezes with a tissue (or use the inside of your elbow), throw used tissues in the trash, and wash hands. Wash your hands often with soap and water for at least 20 seconds. Use hand sanitizer with at least 60% alcohol if soap and water are not readily available. See Considerations for Public Beaches for more information. RNAexternal icon of the virus that causes COVID-19 has been found in untreated wastewater, which can come from combined sewer overflowsexternal icon (rainwater runoff, domestic sewage, and industrial wastewater) and other sourcesexternal icon (such as, leaking septic tanks or animal waste from farms nearby) and enter swim areas. While data are limited, there is little evidence of infectious virus in wastewater. Plus, CDC is not aware of any scientific reports of the virus being spread by swallowing or coming in contact with water contaminated by feces (poop) from an infected person. At lakes, oceans, and rivers with routine water quality monitoring programs, staff look for changes in fecal (poop) contamination of the water. Water quality advisories and beach closures alert the public to avoid getting in or on the water because of increased fecal contamination. Learn more about healthy swimming in natural bodies of water and access water quality information by state."
Can cloth masks be worn in the water?,"No, do NOT wear a cloth mask in the water. It can be difficult to breathe through a cloth mask when it is wet. Plus, wet cloth masks don’t slow the spread of the virus that causes COVID-19 as well as dry cloth masks. All of this means it is particularly important to stay at least 6 feet apart in the water from people you don’t live with. In case cloth masks do get wet by mistake, bring a second (or extra) cloth mask for everyone heading out to the public pool or beach."
"Can Lycra (Spandex or elastane), the cloth used to make swimsuits, be used to make cloth masks?","CDC does not yet have evidence on the effectiveness of different types of cloth materials. Wearing cloth masks can help prevent people infected with the virus that causes COVID-19 from spreading the virus. Make sure your cloth mask: fits snugly but comfortably against the side of the face, completely covers the nose and mouth, is secured with ties or ear loops, includes multiple layers of fabric, allows for breathing without restriction, and can be laundered and machine dried without damage or change to shape. Cloth masks should NOT be worn by children less than 2 years old or anyone who has trouble breathing or is unconscious, incapacitated, or otherwise unable to remove the mask without assistance. Learn more about how to wear, take off, and wash your cloth masks."
"How many people, visitors and staff, can be in and around a public pool, hot tub, or water playground (such as at an apartment complex or owned by a community) at the same time?","The design of the public pool, hot tub, or water playground and surrounding deck and if visitors live together or not will affect how many people can stay at least 6 feet apart from those they don’t live with. CDC recommends operators of public pools, hot tubs, and water playgrounds: comply with local, state, territorial, federal, and tribal regulatory agency policies and requirements on gathering (so the number of swimmers in the water isn’t more than the maximum allowed) and teach and reinforce social (physical) distancing among visitors and staff. Operators might want to limit the number of people in and around the water so if the water needs to be evacuated (because of lightning or other health or safety threat) social distancing can be maintained on the deck. Otherwise, if the water is evacuated and social distancing cannot be maintained on the deck, close the deck to visitors. There is no standard formula to determine how many people can maintain social distancing in the water and on the surrounding deck. See Considerations for Public Pools, Hot Tubs, and Water Playgrounds for more information."
"Can I use pool, hot tub, or water playground water to disinfect surfaces or shared objects?","No. Only List N disinfectants approved by the U.S. Environmental Protection Agencyexternal icon should be used to disinfect surfaces (such as handrails and in bathrooms) and shared objects (such as kickboards and pool noodles). The list includes hundreds of disinfectants. Operators of public pools, hot tubs, or water playgrounds (such as at an apartment complex or owned by a community) should consult with the design company or engineer to determine which disinfectants are best suited for surfaces and with manufacturers to determine which disinfectants are best suited for shared objects. Remember to clean surfaces and shared objects before disinfecting them and to follow directions on labels of cleaning products and disinfectants."
Can the sun’s ultraviolet (UV) light disinfect surfaces and shared objects?,"We don’t know yet. Early scientific data suggest that SARS-CoV-2, the virus that causes COVID-19, can be inactivated by the sun’s UV light. However, the ability of the sun’s UV light to inactivate the virus on surfaces (such as handrails and in bathrooms) and shared objects (such as kickboards and pool noodles) needs more research. Factors — such as cloudiness, latitude (distance from equator), time of day, and amount of time exposed to the sun’s UV light — will determine how effectively the virus is inactivated. Remember to clean surfaces and shared objects before disinfecting them and to follow directions on labels of cleaning products and disinfectantsexternal icon."
"How often do surfaces (such as handrails and in bathrooms) at public pools, hot tubs, or water playgrounds (such as at an apartment complex or owned by a community) need to be cleaned and disinfected?","The more frequently a surface is touched by multiple people, the more frequently it should be cleaned and then disinfected with a List N disinfectant approved by the U.S. Environmental Protection Agencyexternal icon. Frequently touched surfaces should be cleaned and disinfected at least daily. Remember to clean surfaces and shared objects before disinfecting them and to follow directions on labels of cleaning products and disinfectants."
"Do procedures for responding to formed fecal (poop) or diarrheal incidents in public pools, hot tubs, or water playgrounds (such as at an apartment complex or owned by a community) need to change during the COVID-19 pandemic?","No. RNAexternal icon of the virus that causes COVID-19 has been found in feces (poop). While data are limited, there is little evidence of infectious virus in feces. Plus, CDC is not aware of any scientific reports of the virus being spread by swallowing or coming in contact with water contaminated by feces from an infected person. As a result, CDC has not changed its fecal incident response recommendations. Remember, do NOT vacuum feces out of the water."
"Can lifeguards monitor how visitors socially distance (stay at least 6 feet apart from people you don’t live with), wear cloth masks, or wash hands?","Not when lifeguards are actively lifeguarding. Lifeguards actively lifeguarding should not be doing other tasks that could distract them. Drowning deaths have resulted, at least in part, from lifeguards being distracted. Drowning can occur quickly and quietly. Learn and take steps to prevent drowning."
How can the spread of the virus that causes COVID-19 be slowed during lifeguard training?,"Lifeguard trainers can consider the following steps to slow the spread of the virus that causes COVID-19: Have the virus? Stay home to save lives. Educate instructors, lifeguard students, and others about when they should stay home to isolate (if they have symptoms of COVID-19 or tested positive for COVID-19) or quarantine (if they have been in close contact with someone who has COVID-19) and when they can return or reschedule training. Conduct daily health checks (see frequently asked question on screening) or ask instructors, students, and others to conduct self-checks (such as temperature screening or symptom checking), if possible. Conduct health checks safely and respectfully and in accordance with any applicable local, state, territorial, federal, and tribal privacy and confidentiality laws, rules, and regulations. Be smart, stay at least 6 feet apart Conduct knowledge training virtually or online, when possible, to limit contact among instructors, students, and others. Teach and reinforce social (physical) distancing during in-person skills training in and out of the water — maintaining at least 6 feet between people who don’t live together. Provide physical cues or guides (such as lane lines in the water or chairs and tables on the deck) and visual cues (such as posted signs or tape on the deck). Limit close contact, particularly face-to-face interactions, between people who don’t live together, as recommended by the lifeguarding-certifying organization. Such as Aquatic rescue For practice rescues Have each student practice rescues on his or her household member instead of another student. For actual rescues Stress the need to keep the number of people involved in rescue and resuscitation to the minimum number needed to provide proper care. Stress the need to 1) perform rescues from the deck (using an extending or throwing device) if conditions allow and 2) if possible, have people on the deck wear cloth masks, when removing victim from the water because social distancing cannot be maintained. If an in-water rescue is needed, minimize exposure to the distressed swimmer’s face without protection, if possible approaching him or her from behind. Cardiopulmonary Resuscitation (CPR) For practice resuscitation Limit student-to-manikin ratio and student-to-automated external defibrillator (AED) training device ratio to 1:1. Have each student use his or her own breathing barrier when doing rescue breathing on a manikin. For actual resuscitation Stress the need for and train with personal protective equipment (PPE) during resuscitation, as recommended by the CPR-certifying organization (such as the American Red Crossexternal icon), and use a bag-valve mask (BVM) with a high-efficiency particulate air (HEPA) filter. BVM ventilation is best delivered with two rescuers. Wear a mask. Save lives. Teach and reinforce use of cloth masks in public settings when around people you don’t live with, particularly when it is difficult to maintain social distancing. Advise people wearing masks to not wear them in the water. Cloth masks can be difficult to breathe through when they’re wet. This means it is particularly important to maintain social distancing in the water. Plus, wet cloth masks don’t slow the spread of the virus that causes COVID-19 as well as dry cloth masks. Cover coughs and sneezes Teach and reinforce covering coughs and sneezes with a tissue (or use the inside of elbow), throw used tissues in the trash, and wash hands. Wash hands often Teach and reinforce handwashing with soap and water for at least 20 seconds, particularly after being in a public place or after blowing your nose, coughing, or sneezing. Use hand sanitizer with at least 60% alcohol, if soap and water are not readily available. Clean and then disinfect Clean and then disinfect surfaces frequently touched by multiple people (such as door handles, light switches, and tables). Use cleaning product and a List N disinfectant approved by the U.S. Environmental Protection Agencyexternal icon as per label instructions. Clean and then disinfect all shared equipment that is not disposable (such as manikins and rescue tubes) between users. Use cleaning product and a List N disinfectant approved by the U.S. Environmental Protection Agencyexternal icon as per label instructions. Consult with manufacturers to decide which List N disinfectants are best for equipment. CDC has more COVID-19–related considerations for public pools and public beaches and non-COVID-19–related healthy and safe swimming resources."
What is a coronavirus?,"Coronaviruses are a large family of viruses which may cause illness in animals or humans.  In humans, several coronaviruses are known to cause respiratory infections ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS). The most recently discovered coronavirus causes coronavirus disease COVID-19."
what is COVID-19?,"COVID-19 is the infectious disease caused by the most recently discovered coronavirus. This new virus and disease were unknown before the outbreak began in Wuhan, China, in December 2019.Coronaviruses (CoV) are a family of RNA (ribonucleic acid) viruses. They are called coronaviruses because the virus particle exhibits a characteristic ‘corona’ (crown) of spike proteins around its lipid envelope. CoV infections are common in animals and humans. Some strains of CoV are zoonotic, meaning they can be transmitted between animals and humans, but many strains are not zoonotic.

In humans, CoV can cause illness ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (caused by MERS-CoV), and Severe Acute Respiratory Syndrome (caused by SARS-CoV). Detailed investigations have demonstrated that SARS-CoV was transmitted from civets to humans, and MERS-CoV from dromedary camels to humans.

In December 2019, human cases of pneumonia of unknown origin were reported in Wuhan City, Hubei Province of China (People’s Rep. of). A new CoV was identified as the causative agent by Chinese Authorities. Since then, human cases have been reported by almost all countries around the world and the COVID-19 event has been declared by the World Health Organization (WHO) to be a pandemic. For up to date information please consult the WHO website.

The CoV which causes COVID-19 has been named as SARS-CoV-2 by the International Committee on Taxonomy of Viruses (ICTV); this is the scientific name. The virus may also be referred to as “the COVID-19 virus” or “the virus responsible for COVID-19”. COVID19 refers to the disease caused by the virus."
what are the symptoms of COVID-19?,"The most common symptoms of COVID-19 are fever, tiredness, and dry cough. Some patients may have aches and pains, nasal congestion, runny nose, sore throat or diarrhea. These symptoms are usually mild and begin gradually. Some people become infected but don’t develop any symptoms and don't feel unwell. Most people (about 80%) recover from the disease without needing special treatment. Around 1 out of every 6 people who gets COVID-19 becomes seriously ill and develops difficulty breathing. Older people, and those with underlying medical problems like high blood pressure, heart problems or diabetes, are more likely to develop serious illness. People with fever, cough and difficulty breathing should seek medical attention."
How does COVID-19 spread?,"People can catch COVID-19 from others who have the virus. The disease can spread from person to person through small droplets from the nose or mouth which are spread when a person with COVID-19 coughs or exhales. These droplets land on objects and surfaces around the person. Other people then catch COVID-19 by touching these objects or surfaces, then touching their eyes, nose or mouth. People can also catch COVID-19 if they breathe in droplets from a person with COVID-19 who coughs out or exhales droplets. This is why it is important to stay more than 1 meter (3 feet) away from a person who is sick."
what can I do to protect myself and prevent the spread of disease,"Stay aware of the latest information on the COVID-19 outbreak, available on the WHO website and through your national and local public health authority. Many countries around the world have seen cases of COVID-19 and several have seen outbreaks. Authorities in China and some other countries have succeeded in slowing or stopping their outbreaks. However, the situation is unpredictable so check regularly for the latest news.

You can reduce your chances of being infected or spreading COVID-19 by taking some simple precautions:

Regularly and thoroughly clean your hands with an alcohol-based hand rub or wash them with soap and water.
Why? Washing your hands with soap and water or using alcohol-based hand rub kills viruses that may be on your hands.
Maintain at least 1 metre (3 feet) distance between yourself and anyone who is coughing or sneezing.
Why? When someone coughs or sneezes they spray small liquid droplets from their nose or mouth which may contain virus. If you are too close, you can breathe in the droplets, including the COVID-19 virus if the person coughing has the disease.
Avoid touching eyes, nose and mouth.
Why? Hands touch many surfaces and can pick up viruses. Once contaminated, hands can transfer the virus to your eyes, nose or mouth. From there, the virus can enter your body and can make you sick.
Make sure you, and the people around you, follow good respiratory hygiene. This means covering your mouth and nose with your bent elbow or tissue when you cough or sneeze. Then dispose of the used tissue immediately.
Why? Droplets spread virus. By following good respiratory hygiene you protect the people around you from viruses such as cold, flu and COVID-19.
Stay home if you feel unwell. If you have a fever, cough and difficulty breathing, seek medical attention and call in advance. Follow the directions of your local health authority.
Why? National and local authorities will have the most up to date information on the situation in your area. Calling in advance will allow your health care provider to quickly direct you to the right health facility. This will also protect you and help prevent spread of viruses and other infections.
Keep up to date on the latest COVID-19 hotspots (cities or local areas where COVID-19 is spreading widely). If possible, avoid traveling to places  – especially if you are an older person or have diabetes, heart or lung disease.
Why? You have a higher chance of catching COVID-19 in one of these areas."
How likely am I to catch COVID-19?,"The risk depends on where you  are - and more specifically, whether there is a COVID-19 outbreak unfolding there.
For most people in most locations the risk of catching COVID-19 is still low. However, there are now places around the world (cities or areas) where the disease is spreading. For people living in, or visiting, these areas the risk of catching COVID-19 is higher. Governments and health authorities are taking vigorous action every time a new case of COVID-19 is identified. Be sure to comply with any local restrictions on travel, movement or large gatherings. Cooperating with disease control efforts will reduce your risk of catching or spreading COVID-19.
COVID-19 outbreaks can be contained and transmission stopped, as has been shown in China and some other countries. Unfortunately, new outbreaks can emerge rapidly. It’s important to be aware of the situation where you are or intend to go. WHO publishes daily updates on the COVID-19 situation worldwide.
"
Should I worry about COVID-19?," Illness due to COVID-19 infection is generally mild, especially for children and young adults. However, it can cause serious illness: about 1 in every 5 people who catch it need hospital care. It is therefore quite normal for people to worry about how the COVID-19 outbreak will affect them and their loved ones.
We can channel our concerns into actions to protect ourselves, our loved ones and our communities. First and foremost among these actions is regular and thorough hand-washing and good respiratory hygiene. Secondly, keep informed and follow the advice of the local health authorities including any restrictions put in place on travel, movement and gatherings.
Learn more about how to protect yourself at https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public
"
Who is at risk of developing severe illness?,"While we are still learning about how COVID-2019 affects people, older persons and persons with pre-existing medical conditions (such as high blood pressure, heart disease, lung disease, cancer or diabetes)  appear to develop serious illness more often than others. "
Are antibiotics effective in preventing or treating the COVID-19?,"No. Antibiotics do not work against viruses, they only work on bacterial infections. COVID-19 is caused by a virus, so antibiotics do not work. Antibiotics should not be used as a means of prevention or treatment of COVID-19. They should only be used as directed by a physician to treat a bacterial infection. "
Are there any medicines or therapies that can prevent or cure COVID-19?,"While some western, traditional or home remedies may provide comfort and alleviate symptoms of COVID-19, there is no evidence that current medicine can prevent or cure the disease. WHO does not recommend self-medication with any medicines, including antibiotics, as a prevention or cure for COVID-19. However, there are several ongoing clinical trials that include both western and traditional medicines. WHO will continue to provide updated information as soon as clinical findings are available."
"Is there a vaccin, drug or treatment for COVID-19?","Not yet. To date, there is no vaccine and no specific antiviral medicine to prevent or treat COVID-2019. However, those affected should receive care to relieve symptoms. People with serious illness should be hospitalized. Most patients recover thanks to supportive care.
Possible vaccines and some specific drug treatments are under investigation. They are being tested through clinical trials. WHO is coordinating efforts to develop vaccines and medicines to prevent and treat COVID-19.
The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue, and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing. (See Basic protective measures against the new coronavirus).
"
Is COVID-19 the same as SARS?,"No. The virus that causes COVID-19 and the one that caused the outbreak of Severe Acute Respiratory Syndrome (SARS) in 2003 are related to each other genetically, but the diseases they cause are quite different.
SARS was more deadly but much less infectious than COVID-19. There have been no outbreaks of SARS anywhere in the world since 2003"
Should I wear a mask to protect myself?,"Only wear a mask if you are ill with COVID-19 symptoms (especially coughing) or looking after someone who may have COVID-19. Disposable face mask can only be used once. If you are not ill or looking after someone who is ill then you are wasting a mask. There is a world-wide shortage of masks, so WHO urges people to use masks wisely.
WHO advises rational use of medical masks to avoid unnecessary wastage of precious resources and mis-use of masks  (see Advice on the use of masks).
The most effective ways to protect yourself and others against COVID-19 are to frequently clean your hands, cover your cough with the bend of elbow or tissue and maintain a distance of at least 1 meter (3 feet) from people who are coughing or sneezing. See basic protective measures against the new coronavirus for more information"
"How to put on, use,take off and dispose of a mask?","Remember, a mask should only be used by health workers, care takers, and individuals with respiratory symptoms, such as fever and cough.
Before touching the mask, clean hands with an alcohol-based hand rub or soap and water
Take the mask and inspect it for tears or holes.
Orient which side is the top side (where the metal strip is).
Ensure the proper side of the mask faces outwards (the coloured side).
Place the mask to your face. Pinch the metal strip or stiff edge of the mask so it moulds to the shape of your nose.
Pull down the mask’s bottom so it covers your mouth and your chin.
After use, take off the mask; remove the elastic loops from behind the ears while keeping the mask away from your face and clothes, to avoid touching potentially contaminated surfaces of the mask.
Discard the mask in a closed bin immediately after use.
Perform hand hygiene after touching or discarding the mask – Use alcohol-based hand rub or, if visibly soiled, wash your hands with soap and water."
How long is the incubation perod for COVID-19?,"The “incubation period” means the time between catching the virus and beginning to have symptoms of the disease. Most estimates of the incubation period for COVID-19 range from 1-14 days, most commonly around five days. These estimates will be updated as more data become available."
can humans become infected with the COVID-19 from an animal source?,"Coronaviruses are a large family of viruses that are common in animals. Occasionally, people get infected with these viruses which may then spread to other people. For example, SARS-CoV was associated with civet cats and MERS-CoV is transmitted by dromedary camels. Possible animal sources of COVID-19 have not yet been confirmed.  
To protect yourself, such as when visiting live animal markets, avoid direct contact with animals and surfaces in contact with animals. Ensure good food safety practices at all times. Handle raw meat, milk or animal organs with care to avoid contamination of uncooked foods and avoid consuming raw or undercooked animal products."
can I catch COVID-19 from my pet?,"While there has been one instance of a dog being infected in Hong Kong, to date, there is no evidence that a dog, cat or any pet can transmit COVID-19. COVID-19 is mainly spread through droplets produced when an infected person coughs, sneezes, or speaks. To protect yourself, clean your hands frequently and thoroughly. 
WHO continues to monitor the latest research on this and other COVID-19 topics and will update as new findings are available."
How long does the virus survive on surfaces?,"It is not certain how long the virus that causes COVID-19 survives on surfaces, but it seems to behave like other coronaviruses. Studies suggest that coronaviruses (including preliminary information on the COVID-19 virus) may persist on surfaces for a few hours or up to several days. This may vary under different conditions (e.g. type of surface, temperature or humidity of the environment).
If you think a surface may be infected, clean it with simple disinfectant to kill the virus and protect yourself and others. Clean your hands with an alcohol-based hand rub or wash them with soap and water. Avoid touching your eyes, mouth, or nose."
Is it safe to receive a packae from any area where COVID-19 has been reported?,"Yes. The likelihood of an infected person contaminating commercial goods is low and the risk of catching the virus that causes COVID-19 from a package that has been moved, travelled, and exposed to different conditions and temperature is also low. "
